GeneSymbol	TCGA-A6-3807-01A-22	TCGA-A6-3808-01A-22	TCGA-A6-3810-01A-22	TCGA-AA-3518-01A-11	TCGA-AA-3525-01A-12	TCGA-AA-3526-01A-11	TCGA-AA-3529-01A-12	TCGA-AA-3531-01A-22	TCGA-AA-3534-01A-22	TCGA-AA-3552-01A-22	TCGA-AA-3554-01A-22	TCGA-AA-3558-01A-22	TCGA-AA-3561-01A-22	TCGA-AA-3664-01A-22	TCGA-AA-3666-01A-31	TCGA-AA-3672-01A-22	TCGA-AA-3684-01A-31	TCGA-AA-3695-01A-22	TCGA-AA-3710-01A-22	TCGA-AA-3715-01A-22	TCGA-AA-3818-01A-22	TCGA-AA-3848-01A-22	TCGA-AA-3864-01A-22	TCGA-AA-3986-01A-12	TCGA-AA-3989-01A-22	TCGA-AA-A004-01A-22	TCGA-AA-A00A-01A-22	TCGA-AA-A00E-01A-31	TCGA-AA-A00F-01A-31	TCGA-AA-A00J-01A-12	TCGA-AA-A00K-01A-12	TCGA-AA-A00N-01A-32	TCGA-AA-A00O-01A-13	TCGA-AA-A00R-01A-22	TCGA-AA-A00U-01A-41	TCGA-AA-A010-01A-31	TCGA-AA-A017-01A-22	TCGA-AA-A01C-01A-22	TCGA-AA-A01D-01A-23	TCGA-AA-A01F-01A-23	TCGA-AA-A01I-01A-12	TCGA-AA-A01K-01A-31	TCGA-AA-A01P-01A-23	TCGA-AA-A01R-01A-23	TCGA-AA-A01S-01A-23	TCGA-AA-A01T-01A-23	TCGA-AA-A01V-01A-24	TCGA-AA-A01X-01A-23	TCGA-AA-A01Z-01A-13	TCGA-AA-A022-01A-23	TCGA-AA-A024-01A-32	TCGA-AA-A029-01A-41	TCGA-AA-A02E-01A-23	TCGA-AA-A02H-01A-32	TCGA-AA-A02J-01A-23	TCGA-AA-A02O-01A-23	TCGA-AA-A02R-01A-23	TCGA-AA-A02Y-01A-31	TCGA-AA-A03F-01A-41	TCGA-AA-A03J-01A-23	TCGA-AF-2691-01A-41	TCGA-AF-2692-01A-41	TCGA-AF-3400-01A-41	TCGA-AF-3913-01A-12	TCGA-AG-3574-01A-22	TCGA-AG-3580-01A-22	TCGA-AG-3584-01A-22	TCGA-AG-3593-01A-22	TCGA-AG-3594-01A-12	TCGA-AG-4007-01A-22	TCGA-AG-A002-01A-23	TCGA-AG-A008-01A-23	TCGA-AG-A00C-01A-23	TCGA-AG-A00H-01A-22	TCGA-AG-A00Y-01A-12	TCGA-AG-A011-01A-32	TCGA-AG-A014-01A-12	TCGA-AG-A015-01A-51	TCGA-AG-A016-01A-23	TCGA-AG-A01J-01A-22	TCGA-AG-A01L-01A-22	TCGA-AG-A01N-01A-23	TCGA-AG-A01W-01A-23	TCGA-AG-A01Y-01A-43	TCGA-AG-A020-01A-23	TCGA-AG-A026-01A-71	TCGA-AG-A02N-01A-31	TCGA-AG-A02X-01A-32	TCGA-AG-A032-01A-31	TCGA-AG-A036-01A-22
A1BG	2.987927168	4.357552005	4.285648812	4.467714224	2.979415668	3.561529806	3.060047384	3.273018494	4.067523994	3.303537235	2.874469118	3.79146681	3.695251495	3.771533487	1.59454855	2.567220918	3.814892173	3.444490385	1.877089818	4.015545145	3.904644656	2.880359013	2.897240426	4.40053793	1.887525271	4.295233228	3.287373787	3.771533487	3.632655985	4.010779839	3.816258361	5.911212202	3.806667761	4.308642404	3.792855352	4.424474255	3.47940304	3.668270438	4.773117223	2.807354922	3.139687771	3.152724261	3.378511623	3.647698256	3.366438791	3.239296196	3.642701572	2.59614005	4.160274831	4.445373578	4.69803322	3.469017667	3.770124261	3.898853277	3.276992863	3.704134202	4.80512045	3.555816155	2.91201108	2.772589504	1.644625422	3.904323522	5.495055528	4.107129875	0	3.94204526	2.871843649	3.370164281	3.383128251	0	3.276992863	3.692278398	2.030924573	2.979415668	3.469017667	3.430285273	3.451540833	3.088593923	1.481987743	4.035037329	3.41774002	2.449781449	3.499527024	4.232404937	3.576118982	3.555816155	3.290326098	4.190878198	2.301587647	3.926632041
A1CF	1.337235348	0	0.995182984	0	0	0.635367454	0	2.275007047	1.669026766	0	0	1.793549123	2.499101764	0	2.358021097	0	1.461179281	0.742724863	0.565597176	0.019108823	0	0.363638347	0	0.941106311	1.559083869	1.329602023	0	0.429392792	0.748461233	0	0	0.009586049	0	0	1.461179281	1.86393845	0.333423734	1.783805848	0.009586049	2.242856524	0.565597176	0.739848103	0	0	1.850666093	2.207892852	0	0	0	0	0.884923476	1.418639736	1.531069493	1.440066294	2.868555078	1.141868716	0	0.787989597	1.578536232	2.174193333	2.469885976	0.948600847	1.113255978	0	0	1.385891154	0.635367454	0	1.184809239	0.799087306	0	1.359895945	1.560714954	0	1.310340121	0	1.102098188	1.810100299	0.782408565	0	0.742724863	2.174193333	1.600904045	0	2.088593923	2.088593923	0.754174884	0	0.946106992	1.90560763
A2M	6.970163425	7.533719071	6.324450605	7.746267973	6.689858236	6.296518589	5.998496409	6.181102551	6.970163425	6.430842793	6.512016136	7.331693275	6.653442239	6.15839089	6.229203358	6.076316801	6.492761174	6.109987319	6.524815928	6.689858236	6.46128844	6.7359734	6.262658655	6.696550301	5.400993254	6.708463165	6.413063715	6.763145958	5.924891662	6.91201108	7.174659417	7.474571242	6.148662998	6.605257263	6.15839089	6.589014385	6.089582893	6.229203358	7.157111099	6.730368236	5.612549091	5.894656108	6.082929625	5.331514144	6.609991295	6.593951284	6.367487558	5.55755305	5.165911939	6.544320516	7.665667533	6.882398504	4.673933254	5.917193037	6.320544849	5.89659478	7.271400774	6.815575429	5.762171613	5.22650853	5.396890153	6.634593268	7.665667533	5.659163443	3.597332524	5.753461914	6.408258967	6.316628491	7.37045493	5.682666927	7.166581558	6.520212692	5.059470652	6.664340612	6.221361557	6.079804755	7.291186051	5.322288724	5.140369671	6.72474121	6.04701482	5.515804949	6.768007838	6.106850796	6.619902043	5.751677946	5.703857443	6.520212692	6.390140288	5.987320866
A2ML1	2.021479727	2.811471031	2.322889571	1.656877683	1.826463745	1.329602023	1.584962501	1.59454855	2.099856237	1.701918647	1.83052577	0	1.30256277	1.329602023	1.242856524	1.318075769	2.151642375	1.826463745	1.542670779	3.662965013	1.855989697	1.385891154	1.209973162	1.976974559	0.584962501	2	0.821029859	1.76836079	2.372952098	1.754174884	2.225480603	2.890122382	0.980634675	1.765534746	1.461179281	1.86393845	0.910732662	1.783805848	2.559083869	1.448900951	1.578536232	0.739848103	1.86393845	1.374807654	1.850666093	1.054269663	0.672048117	0.519374159	2.586564605	1.701918647	1.514332704	1.722466024	1.531069493	1.810100299	2.303537235	1.141868716	2.096486765	1.310340121	1.197446064	1.22650853	0.980634675	1.385891154	2.559899642	1.807354922	2.352381891	1.385891154	2.004800986	1.425817338	1.895302621	0.799087306	1.492280498	1.734077315	1.560714954	2.115477217	1.559083869	1.748461233	1.492280498	1.481987743	0.782408565	1.450661409	0.742724863	1	2.070389328	1.318075769	1.659924558	1.124328135	1.877089818	2.102098188	1.559083869	0.742724863
AAAS	1.337235348	0	0.995182984	1.312277925	2.31421313	1.76836079	1.915839552	2.735522177	2.099856237	2.497399469	1.40780593	2.425817338	2.720278465	2.380360048	1.59454855	2.063502942	0.812840461	1.826463745	2.117695043	1.693022247	1.855989697	1.710760524	2.897240426	0	1.887525271	0	2.938599455	0.983069604	2.112144074	2.088593923	1.762703156	0.009586049	0.429392792	0.748461233	2.019108823	0	1.847996907	0.519374159	0.009586049	2.242856524	1.578536232	1.389566812	0.736965594	2.40599236	1.850666093	1.895302621	1.762703156	2.372952098	2.586564605	2.019108823	0.884923476	0.995182984	0.539365634	0.804604311	1.869213392	1.141868716	0	0.787989597	1.578536232	2.600904045	2.765534746	1.385891154	2.207892852	0.754174884	1.418639736	2.818305222	1.294743266	1.425817338	1.184809239	1.495695163	1.987927168	2.343881536	2.382206107	1.389566812	0.799087306	2.597729797	2.704871964	1.481987743	2.358021097	1.845322772	2.3950628	2.690789548	2.070389328	0	3.42312992	1.481987743	2.485426827	3.750606505	1.559083869	1.457681837
AACS	1.337235348	0	0	0.635367454	0	1.329602023	1.584962501	1.141868716	0	2.007195501	0.748461233	0.748461233	1.30256277	2.088593923	1.242856524	2.745595899	0	0.742724863	1.542670779	0.019108823	0.799087306	0.363638347	2.385891154	0	1.184809239	0.701918647	0	1.76836079	1.803227036	1.329602023	2.597729797	0.009586049	1.687060688	0	1.461179281	0	1.597729797	0	0.009586049	0	1.141868716	0.739848103	0.736965594	0.910732662	0.559083869	0.457681837	1.341036918	2.59614005	0	0	0.884923476	1.98550043	0.539365634	0	1.271027197	3.108803211	0	2.630716096	1.197446064	0	0	0.948600847	2.207892852	0	0.799087306	1.385891154	1.294743266	0	0	0.799087306	1.492280498	0.701918647	2.030924573	0	1.559083869	0.635367454	1.102098188	1.810100299	0.782408565	0	1.385891154	0	0	0	1.659924558	0	1.877089818	0	0	0.742724863
AARS	4.272520928	4.782059033	4.848330825	4.840127489	5.329123596	5.050211446	4.957759861	5.140369671	4.801848446	4.723194474	4.931683057	4.963011648	5.00030053	5.433404615	5.322288724	5.223165087	4.828157646	4.333423734	5.450221496	3.662965013	4.718818247	5.223165087	4.617455221	5.006597245	4.553360503	4.602092589	4.504832226	5.190088041	4.636527954	4.928054427	5.179378346	4.561122438	4.828157646	5.146084939	4.748819	4.531069493	4.732450113	4.779960058	4.667892125	4.507160349	5.243999052	4.914723964	5.140369671	4.822220272	4.889473543	4.531901257	4.66106548	4.687060688	3.799087306	4.894332742	4.632655985	5.031512828	4.965938164	4.343881536	4.794762418	5.019108823	4.592158002	5.667513713	4.801848446	5.069816716	4.658782734	5.041476636	4.56701805	5.104895736	5.084347785	4.931683057	5.183486514	4.76694846	5.202809492	4.574101508	5.29963542	4.782059033	4.088593923	4.852331831	4.675251386	4.669026766	5.035917111	5.140369671	5.18136763	4.20372321	4.415938902	4.888499736	4.466844606	4.872172094	4.531069493	4.826294245	5.211271834	4.430285273	3.945794957	4.999398752
AARS2	1.337235348	1.371094152	1.605652359	1.656877683	1.141868716	1.76836079	1.584962501	2.275007047	1.03796785	2.252980741	1.40780593	2.135315965	3.218264536	0	3.099856237	1.318075769	1.461179281	0.742724863	1.542670779	0.019108823	1.461179281	2.404176507	2.161350266	1.976974559	2.146220741	3.150559677	1.461179281	0	1.398715194	2.589763487	1.762703156	0.009586049	3.345774837	1.765534746	2.019108823	1.461179281	1.847996907	1.461179281	0.009586049	2.242856524	2.201633861	1.389566812	1.418639736	1.967168608	2.378511623	2.48370831	0.672048117	2.372952098	2.811471031	1.321928095	1.514332704	1.418639736	2.630716096	2.114367025	1.869213392	2.161350266	0.739848103	1.578536232	0	2.925999419	2.765534746	1.385891154	1.113255978	0.754174884	1.418639736	1.814208593	1.294743266	1.425817338	0	0.799087306	1.987927168	2.069243877	2.382206107	1.389566812	1.559083869	2.081794091	0.559083869	0.565597176	1.481987743	0.799087306	1.385891154	3.07153387	1.600904045	1.318075769	1.004800986	1.82374936	1.877089818	2.102098188	0	1.457681837
ABAT	0	1.371094152	3.160274831	0	1.141868716	0.635367454	1.197446064	2.931052646	1.03796785	1.31421313	0	2.645394244	2.253989266	0	0	0	1.834576391	1.826463745	0.565597176	2.416839742	1.855989697	0.363638347	1.209973162	2.283921772	2.772589504	0.701918647	0.821029859	0.429392792	1.803227036	2.088593923	0	0.009586049	5.524815928	0.748461233	0.559083869	1.461179281	2.086330872	2.032100843	0.009586049	0.742724863	0.565597176	1.389566812	0	0	0	3.07153387	2.569653111	4.11242213	0	1.321928095	2.799087306	0.499101764	1.887525271	4.767654798	0	0.559083869	1.385891154	2.088593923	0.591360272	3.523561956	1.644625422	1.385891154	2.207892852	0	1.418639736	1.814208593	1.684070646	2.367371066	0	3.269033146	0	0.701918647	0	0.748461233	1.559083869	1.329602023	2.704871964	0.565597176	3.527320608	0.799087306	2.12763328	2.174193333	0	1.915839552	2.088593923	2.088593923	0	0	2.568032105	1.90560763
ABCA13	1.722466024	2.047305715	0.995182984	0.635367454	0	0.635367454	0.578536232	0	0	2.007195501	0	0	1.30256277	0	1.242856524	2.063502942	0.812840461	0.742724863	2.691534165	3.89917563	0	0.363638347	0.591360272	0	0	0.701918647	0	0.983069604	0.748461233	1.754174884	1.074962058	2.222392421	2.380360048	0.748461233	0.559083869	1.461179281	2.610385098	2.032100843	1.461179281	0.742724863	0	0	0.736965594	1.967168608	1.084064265	0	0	1.831877241	1.310340121	0	0	1.722466024	0.539365634	0.804604311	0	0.559083869	1.385891154	1.310340121	0.591360272	1.59454855	0.980634675	1.701918647	2.797012978	1.404176507	0	0	0.635367454	0	0.591360272	2.358021097	0	0	0.884923476	0	0.27897595	1.748461233	2.542670779	0.565597176	1.481987743	0.799087306	0	1	0	2.320003218	0	0	2.732631004	0	0	2.251971511
ABCB7	2.270030516	0	2.322889571	0.635367454	1.141868716	1.329602023	0.578536232	2.931052646	1.669026766	2.007195501	1.83052577	0.748461233	1.698959272	2.088593923	2.135315965	2.063502942	1.834576391	1.826463745	0.565597176	0.019108823	0	2.880359013	0	1.976974559	1.184809239	2	1.86393845	0.983069604	1.803227036	2.35614381	1.074962058	0.009586049	2.559083869	0.748461233	0.559083869	0	1.847996907	2.032100843	0.009586049	2.563971604	2.983069604	0	0.736965594	1.374807654	1.850666093	2.48370831	1.341036918	3.83052577	2.995182984	2.704871964	1.953575663	0.499101764	1.531069493	1.810100299	1.271027197	1.874469118	0	2.475084883	1.578536232	1.59454855	3.02266372	1.701918647	2.207892852	1.807354922	0.799087306	0	1.684070646	1.425817338	2.161350266	2.004800986	0.804604311	0.701918647	3.544732656	0.748461233	1.831877241	2.081794091	2.704871964	1.481987743	2.358021097	1.845322772	1.385891154	2.174193333	0.948600847	0	1.004800986	1.82374936	0.754174884	0	0	0.742724863
ABCC2	1.722466024	2.499101764	2.576925182	0	0	0.635367454	2.176322773	1.141868716	0	0	2.674309986	1.382206107	0.629162305	0.659924558	1.59454855	3.056583528	2.151642375	0.742724863	0.565597176	0.019108823	0	1.710760524	1.209973162	0	0	1.329602023	2.207892852	2.015545145	1.398715194	0	2.225480603	1.562344198	0	0	0	1.461179281	0	1.461179281	0.009586049	0	2.201633861	2.126532406	2.207892852	0.352381891	1.084064265	1.895302621	0.672048117	1.081794091	2.275007047	0	0.884923476	2.205809537	0	0	1.869213392	0	2.096486765	0.214124805	2.139687771	0.622930351	1.644625422	0.348610138	1.113255978	0	2.097610797	2.128733314	2.004800986	1.826463745	1.895302621	0	2.352381891	0	0	2.115477217	2.087462841	0.635367454	0	2.294743266	0	2.436517227	0	0	0.948600847	0	0	2.31421313	0.754174884	0	1.559083869	0.742724863
ABCC3	2.8372705	0	0	0.635367454	2.31421313	0.635367454	0	0.565597176	3.128183402	1.31421313	1.83052577	2.645394244	0	0.659924558	1.242856524	0.641546029	3.561529806	1.396890153	2.310340121	0.019108823	0	0.975752454	1.900464326	0	0.584962501	2.626049693	1.461179281	2.582556003	2.582556003	0	1.074962058	0.009586049	0	0	1.461179281	2.76694846	0.333423734	2.244887059	2.114367025	0.742724863	2.201633861	0.739848103	2.704871964	0	2.604071324	2.899820122	2.073820233	1.081794091	3.469017667	2.019108823	3.790076931	0.995182984	0	0	1.869213392	1.141868716	1.801848446	1.310340121	2.139687771	0	0.980634675	1.972079915	0	1.404176507	0	2.818305222	1.684070646	0	3.060623885	2.358021097	2.352381891	1.734077315	0	0.748461233	2.488000771	2.081794091	0	2.294743266	0.782408565	0	1.807354922	0.385891154	1.600904045	0	0	0	0	2.102098188	0.946106992	0
ABCD3	3.969626351	2.499101764	2.576925182	2.984893108	3.994579724	2.710760524	3.394148254	3.273018494	2.923466152	4.331514144	3.582957365	4.188242656	3.218264536	3.653824359	3.969012308	3.429392792	3.102098188	3.444490385	2.691534165	2.416839742	2.40780593	3.319039816	3.555816155	3.09085343	3.436961338	3.150559677	2.938599455	3.56193706	3.30839971	3.800468536	3.319521597	0.009586049	4.073534636	2.494842254	3.71918344	3.199541482	3.855657547	3.12983251	2.559083869	3.396890153	3.413684338	2.995785991	2.704871964	3.555816155	3.561529806	2.716625146	3.345774837	3.513490746	3.320003218	3.637687522	3.790076931	3.701549057	2.630716096	1.810100299	3.276992863	3.600111137	2.992164161	3.642701572	3.409164613	4.162961916	3.572081209	3.042060605	2.797012978	3.197446064	4.107687869	4.019405399	3.319039816	2.367371066	3.283921772	2.635367454	4.050791891	3.692278398	3.360832456	2.115477217	2.641546029	3.151642375	3.345774837	3.31517976	3.828496187	2.436517227	3.859307002	3.07153387	2.912649865	1.915839552	3.720643289	2.841302254	3.55540717	3.557450937	1.98550043	3.379436131
ABCE1	4.272520928	4.278480434	3.967168608	4.401903472	4.568640195	4.172860835	4.425817338	4.554179518	3.862616696	4.192194165	4.100697377	4.813182616	4.916795085	4.493348449	3.806667761	4.123500664	3.89659478	4.130107179	4.020294762	3.313729572	4.09592442	4.464450452	4.431177202	3.958533383	4.242856524	3.955746762	3.881011964	4.520003104	4.066950244	3.556633778	4.269033146	3.882969045	3.806667761	3.961314631	4.813866682	3.631492364	4.469668948	4.119356177	3.799778087	3.9510904	4.384049807	4.24361831	3.378511623	3.885574364	3.853995647	4.173127433	3.815575429	3.925366519	3.685192638	2.881011964	3.668270438	4.274510166	3.555816155	4.528154536	4.733354341	4.169390571	3.542670779	4.016139703	4.319521597	4.3305584	4.433182028	3.649998594	3.560714954	4.287866259	4.491853096	4.627995862	4.615887074	4.269531917	3.984893108	4.186923078	4.425817338	3.769771739	4.561733447	4.06091205	4.766241777	4.050791891	4.170459234	3.992164161	4.11242213	4.100697377	3.859307002	4.375966167	4.232660757	2.598524014	4.742006211	4.274013114	3.784503983	4.190878198	4.497399469	4.004800986
ABCF1	2.270030516	3.26102927	2.995182984	2.647698256	2.979415668	2.934830986	2.93797206	2.544320516	2.690789548	3.415488271	2.674309986	3.029747343	2.720278465	3.525233677	2.984893108	1.718087584	2.61117238	3.555816155	3.408711861	3.517695631	2.949846161	3.498250868	3.460305714	2.719548541	3.963782359	2.425817338	2.531069493	3.488857733	2.914564523	2.35614381	2.597729797	2.222392421	2.169925001	2.30839971	3.276992863	2.581752944	3.196397213	2.894009304	2.874469118	3.242856524	3.139687771	2.995785991	1.86393845	3.647698256	3.465974465	1.895302621	3.09085343	2.113255978	1.875780063	2.704871964	2.567220918	2.581752944	3.29963542	2.626049693	3.739128015	3.108803211	2.542670779	2.775401776	2.139687771	3.306456686	4.172594188	3.042060605	1.113255978	3.610778793	2.352381891	2.818305222	1.684070646	2.367371066	2.379436131	3.073820233	2.890122382	3.477245577	2.917749985	3.284415423	3.064652958	2.081794091	2.866578332	2.961005868	3.680324357	2.641546029	3.287866259	2.449781449	2.655351829	3.243872149	3.42312992	3.555816155	2.732631004	3.371094152	2.301587647	2.790772038
ABCF3	1.722466024	1.371094152	0.995182984	2.207892852	2.31421313	1.329602023	1.584962501	2.275007047	1.669026766	2.252980741	2.172060746	0.748461233	1.698959272	2.380360048	2.358021097	0.641546029	1.461179281	0.742724863	1.141868716	1.693022247	0.799087306	1.385891154	1.580145484	1.976974559	1.559083869	1.329602023	0.821029859	2.207892852	0.748461233	1.329602023	1.074962058	1.562344198	0.980634675	1.371094152	1.775401776	1.461179281	1.847996907	1.461179281	0.009586049	1.448900951	0.565597176	2.126532406	0.736965594	1.374807654	2.378511623	2.48370831	1.762703156	1.488857733	2.275007047	2.019108823	1.953575663	1.98550043	1.887525271	1.440066294	0	1.874469118	0.739848103	1.834576391	1.879705766	2.600904045	0.980634675	1.385891154	0	2.113255978	1.418639736	2.385891154	1.684070646	2.367371066	1.552541023	1.495695163	0.804604311	1.359895945	1.560714954	0.748461233	1.831877241	2.354264077	1.831877241	1.481987743	2.358021097	1.845322772	1.385891154	1.86393845	1.600904045	0	2.40780593	2.31421313	2.207892852	1.443606651	1.559083869	1.457681837
ABHD10	2.987927168	2.499101764	3.441837559	3.12763328	3.718087584	2.126532406	3.172594188	3.273018494	2.923466152	3.185866545	2.447138342	3.029747343	2.91201108	2.630716096	4.142957954	3.429392792	2.970240133	3.444490385	2.310340121	3.08463125	3.089159132	3.228049048	3.147849371	2.719548541	3.198494154	2.626049693	2.938599455	2.207892852	3.054269663	3.90014226	1.762703156	1.562344198	3.744878676	3.24691474	3.056583528	3.076673102	2.890122382	2.436517227	3.799778087	3.242856524	2.983069604	2.805980272	2.468148836	2.778208576	1.850666093	2.899820122	2.569653111	4.198494154	0	3.533563348	2.992768431	2.581752944	3.009586049	3.898853277	3.276992863	2.805980272	3.800468536	3.176322773	2.91201108	3.523561956	3.408711861	2.901751872	1.113255978	3.312277925	2.765534746	3.420437487	3.191141487	3.62214946	2.572081209	2.874469118	3.579743339	3.371094152	2.667513713	2.115477217	2.289834465	3.151642375	3.345774837	3.202678914	2.90945311	2.975141013	2.811471031	2.174193333	2.655351829	1.915839552	3.832890014	3.649998594	3.109917692	2.102098188	3.009586049	2.790772038
ABHD11	4.574101508	2.811471031	3.784503983	3.752034916	4.395976765	2.710760524	4.271027197	3.100977648	3.660685273	4.259523587	4.027979696	4.555816155	3.218264536	3.384049807	4.944077555	4.199017913	4.233427944	3.662965013	4.240059863	2.802537906	3.653824359	4.412104045	4.122672719	3.406445966	4.313245852	4.117972031	4.504832226	3.065802058	4.770124261	4.59971452	3.669026766	2.621368147	3.87774425	3.448900951	3.554998069	4.153805336	4.031512828	4.008092421	3.503348735	5.152183419	2.201633861	3.904644656	3.056583528	3.647698256	3.089724119	3.757734459	4.498463639	4.570462931	4.242348443	5.214124805	3.790076931	4.21800615	3.770124261	4.896271849	3.600111137	3.881338328	4.634012356	4.300611864	4.150018023	4.392317423	4.784154958	3.15596506	4.40053793	5.387500406	3.056583528	3.752748591	4.757201083	3.7322692	3.654588296	4.186923078	4.259523587	3.692278398	3.544732656	3.53812425	3.557450937	3.774699222	4.230100516	3.992164161	3.527320608	4.728283351	3.958533383	3.743802172	3.499527024	2.598524014	3.265536913	4.213606503	4.206330648	3.907211159	3.582556003	3.379436131
ABHD12	1.722466024	1.371094152	2.009586049	1.946106992	1.826463745	1.76836079	2.398715194	0.565597176	2.099856237	3.046723866	0.748461233	2.645394244	2.007195501	1.748461233	2.135315965	1.718087584	0.812840461	2.835924074	1.542670779	1.693022247	2.15704371	1.973305133	1.580145484	0.941106311	3.072677504	0.701918647	2.531069493	0.429392792	1.803227036	1.754174884	2.225480603	1.562344198	1.687060688	2.084064265	2.019108823	0.815575429	2.610385098	2.436517227	1.461179281	1.448900951	1.918386234	0.739848103	1.86393845	0.910732662	0.559083869	1.895302621	2.342933953	1.488857733	0	3.045559463	1.514332704	1.98550043	2.420437487	3.161350266	1.271027197	2.161350266	1.801848446	1.310340121	0.591360272	2.174193333	2.115477217	1.972079915	1.78520178	1.404176507	2.097610797	2.599317794	0.635367454	2.111031312	0.591360272	2.004800986	1.987927168	1.734077315	2.030924573	1.807354922	1.559083869	1.329602023	1.492280498	1.102098188	0.782408565	0.799087306	2.12763328	1	1.600904045	0	1.004800986	1.124328135	1.450661409	3.151642375	3.831877241	1.457681837
ABHD14B	3.688553389	2.499101764	2.995182984	3.665999073	2.979415668	2.934830986	3.573697675	2.735522177	3.660685273	3.541019153	3.864928972	3.882643049	2.253989266	2.088593923	3.56193706	3.653060017	4.166179824	3.177386315	2.691534165	2.802537906	3.208933382	4.131479736	3.695993813	3.661825593	3.315662832	4.019405399	4.292290953	2.929790998	4.016139703	4.241840184	2.597729797	2.621368147	3.274013114	3.351910961	3.462924829	4.332469255	3.093672847	3.521469577	2.559083869	3.555816155	1.918386234	3.29130886	3.22342255	3.555816155	3.465974465	2.48370831	4.033863452	3.513490746	2.586564605	3.045559463	4.154885602	3.198494154	3.29963542	2.99699125	3.600111137	3.24691474	3.723558561	3.555816155	3.828496187	3.614709844	0.980634675	2.584962501	3.560714954	2.372952098	3.692278398	3.649998594	3.57167681	3.7322692	3.283921772	2.635367454	2.890122382	3.769771739	4.311793718	3.820689561	2.796320872	3.774699222	3.828496187	3.517275693	3.141868716	4.353793761	3.958533383	2.449781449	3.649998594	3.757734459	3.265536913	2.992768431	3.109917692	2.883620816	3.831877241	3.540192631
ABHD16A	3.231125158	1.371094152	3.160274831	2.827819025	0	2.434739414	1.584962501	1.59454855	2.099856237	3.541019153	1.40780593	1.793549123	1.30256277	2.630716096	2.850666093	1.318075769	2.151642375	1.396890153	3.102658131	2.802537906	2.793549123	1.973305133	2.742724863	1.578536232	2.393233129	1.716625146	1.86393845	2.765534746	1.803227036	1.754174884	2.225480603	1.562344198	2.169925001	2.30839971	2.425817338	2.161350266	2.440952198	2.762703156	2.114367025	2.242856524	3.139687771	1.812840461	1.86393845	4.036210252	1.481987743	2.48370831	2.342933953	1.081794091	2.586564605	4.202417722	1.514332704	1.722466024	3.87315698	3.161350266	0	2.62058641	1.385891154	2.630716096	1.879705766	1.22650853	2.115477217	1.701918647	1.78520178	2.372952098	1.418639736	2.385891154	2.004800986	2.367371066	2.379436131	2.004800986	0.804604311	1.734077315	0.884923476	1.389566812	2.087462841	1.748461233	1.492280498	3.517275693	1.987927168	1.845322772	2.811471031	1	1.600904045	1.318075769	2.656877683	1.124328135	0.754174884	3.151642375	1.98550043	1.90560763
ABI1	2.270030516	1.371094152	1.605652359	1.946106992	2.31421313	2.126532406	1.915839552	1.141868716	2.427606173	2.497399469	2.172060746	0.748461233	2.499101764	2.866578332	1.59454855	2.341036918	1.834576391	1.396890153	2.117695043	2.802537906	2.15704371	0.363638347	1.580145484	0.941106311	1.559083869	2	1.461179281	2.207892852	1.398715194	1.754174884	2.881011964	1.562344198	2.169925001	1.371094152	0.559083869	1.86393845	0.910732662	1.461179281	0.009586049	1.448900951	2.201633861	1.389566812	2.207892852	1.693022247	2.378511623	2.207892852	2.073820233	0.519374159	3.579743339	0.659924558	2.27897595	1.98550043	2.420437487	0.804604311	1.271027197	2.40780593	1.801848446	2.088593923	1.578536232	0.622930351	2.469885976	2.199541482	2.207892852	1.404176507	1.807354922	1.385891154	1.294743266	0.776805859	2.161350266	1.495695163	1.492280498	0.701918647	0.884923476	1.389566812	2.488000771	1.329602023	1.492280498	1.102098188	1.481987743	2.436517227	2.12763328	1.86393845	1.600904045	2.320003218	2.40780593	2.088593923	2.207892852	2.554179518	0.946106992	0.742724863
ABLIM1	1.337235348	0	0	1.656877683	0	0	0.578536232	1.141868716	2.099856237	0.665999073	1.40780593	0.748461233	2.007195501	0.659924558	1.887525271	1.718087584	0.812840461	1.396890153	1.141868716	0.019108823	0.799087306	0.975752454	2.742724863	0	1.887525271	1.329602023	0.821029859	2.207892852	0.748461233	1.754174884	1.074962058	0.009586049	0.429392792	0	1.775401776	1.461179281	1.597729797	1.03796785	0.009586049	2.563971604	2.448019916	1.812840461	2.207892852	0.352381891	2.126532406	2.207892852	1.762703156	1.488857733	1.310340121	0	3.172594188	1.722466024	3.162424899	2.114367025	0	2.161350266	1.385891154	1.578536232	2.59375214	1.59454855	0.980634675	1.972079915	1.78520178	0	0.799087306	0.731183242	0	1.826463745	2.161350266	0.799087306	0.804604311	2.765534746	2.382206107	0.748461233	2.488000771	2.081794091	1.102098188	2.647698256	0.782408565	1.450661409	1.807354922	0	0	1.318075769	0	1.124328135	2.938599455	2.102098188	3.172060746	0.742724863
