GeneSymbol	TCGA-A6-3807-01A-22	TCGA-A6-3808-01A-22	TCGA-A6-3810-01A-22	TCGA-AA-3518-01A-11	TCGA-AA-3525-01A-12	TCGA-AA-3526-01A-11	TCGA-AA-3529-01A-12	TCGA-AA-3531-01A-22	TCGA-AA-3534-01A-22	TCGA-AA-3552-01A-22	TCGA-AA-3554-01A-22	TCGA-AA-3558-01A-22	TCGA-AA-3561-01A-22	TCGA-AA-3664-01A-22	TCGA-AA-3666-01A-31	TCGA-AA-3672-01A-22	TCGA-AA-3684-01A-31	TCGA-AA-3695-01A-22	TCGA-AA-3710-01A-22	TCGA-AA-3715-01A-22	TCGA-AA-3818-01A-22	TCGA-AA-3848-01A-22	TCGA-AA-3864-01A-22	TCGA-AA-3986-01A-12	TCGA-AA-3989-01A-22	TCGA-AA-A004-01A-22	TCGA-AA-A00A-01A-22	TCGA-AA-A00E-01A-31	TCGA-AA-A00F-01A-31	TCGA-AA-A00J-01A-12	TCGA-AA-A00K-01A-12	TCGA-AA-A00N-01A-32	TCGA-AA-A00O-01A-13	TCGA-AA-A00R-01A-22	TCGA-AA-A00U-01A-41	TCGA-AA-A010-01A-31	TCGA-AA-A017-01A-22	TCGA-AA-A01C-01A-22	TCGA-AA-A01D-01A-23	TCGA-AA-A01F-01A-23	TCGA-AA-A01I-01A-12	TCGA-AA-A01K-01A-31	TCGA-AA-A01P-01A-23	TCGA-AA-A01R-01A-23	TCGA-AA-A01S-01A-23	TCGA-AA-A01T-01A-23	TCGA-AA-A01V-01A-24	TCGA-AA-A01X-01A-23	TCGA-AA-A01Z-01A-13	TCGA-AA-A022-01A-23	TCGA-AA-A024-01A-32	TCGA-AA-A029-01A-41	TCGA-AA-A02E-01A-23	TCGA-AA-A02H-01A-32	TCGA-AA-A02J-01A-23	TCGA-AA-A02O-01A-23	TCGA-AA-A02R-01A-23	TCGA-AA-A02Y-01A-31	TCGA-AA-A03F-01A-41	TCGA-AA-A03J-01A-23	TCGA-AF-2691-01A-41	TCGA-AF-2692-01A-41	TCGA-AF-3400-01A-41	TCGA-AF-3913-01A-12	TCGA-AG-3574-01A-22	TCGA-AG-3580-01A-22	TCGA-AG-3584-01A-22	TCGA-AG-3593-01A-22	TCGA-AG-3594-01A-12	TCGA-AG-4007-01A-22	TCGA-AG-A002-01A-23	TCGA-AG-A008-01A-23	TCGA-AG-A00C-01A-23	TCGA-AG-A00H-01A-22	TCGA-AG-A00Y-01A-12	TCGA-AG-A011-01A-32	TCGA-AG-A014-01A-12	TCGA-AG-A015-01A-51	TCGA-AG-A016-01A-23	TCGA-AG-A01J-01A-22	TCGA-AG-A01L-01A-22	TCGA-AG-A01N-01A-23	TCGA-AG-A01W-01A-23	TCGA-AG-A01Y-01A-43	TCGA-AG-A020-01A-23	TCGA-AG-A026-01A-71	TCGA-AG-A02N-01A-31	TCGA-AG-A02X-01A-32	TCGA-AG-A032-01A-31	TCGA-AG-A036-01A-22
CKMT1A	5.575110597	4.554998069	4.545144678	5.152183419	5.019108823	4.941419362	4.920928429	5.52627752	5.619902043	5.09113562	5.400993254	5.060623885	5.20137248	6.262658655	5.63691458	5.022959567	5.546380038	4.836597444	5.065227623	2.416839742	4.848330825	4.673367972	5.616573348	4.40053793	5.631298336	5.588364849	5.481019022	4.95419631	5.098312872	4.838951767	4.67957393	4.111031312	3.806667761	4.107129875	5.263535255	5.740567831	4.975905274	5.050211446	5.15434557	5.548231098	5.243999052	4.764473551	3.994579724	4.289096702	5.294008009	6.025324156	4.961623328	4.570462931	5.493668681	5.407352751	6.162760558	5.861459166	4.607034346	5.009884589	5.195872501	4.766241777	5.441616269	5.124466001	5.93152548	5.069816716	0	4.853995647	5.544423562	4.225480603	4.379667166	3.94204526	5.063790532	4.947666157	5.333900737	4.727012814	5.035917111	5.195872501	5.289342665	4.681074393	4.675251386	5.255500733	4.929475413	5.339731258	4.909773104	4.761994389	5.98458935	4.888499736	4.80924293	3.401448435	6.103287808	4.384049807	5.776981273	5.004800986	4.934830986	4.294743266
CKMT2	5.478540442	3.26102927	2.576925182	3.12763328	1.826463745	3.685192638	3.394148254	4.474652356	4.350497247	3.046723866	3.582957365	3.697106574	3.07153387	4.751320887	3.395976765	3.056583528	4.166179824	2.835924074	2.861293729	2.416839742	3.43784915	2.880359013	3.757734459	3.535638273	3.884272293	3.82239025	5.376197757	2.929790998	3.534393676	2.589763487	4.162961916	2.222392421	1.687060688	2.494842254	3.792855352	4.044394119	3.855657547	4.438292852	3.503348735	3.710393192	4.17951105	2.995785991	2.468148836	2.40599236	5.140369671	5.444711234	2.934830986	2.59614005	3.685192638	3.533563348	4.998496409	4.517905554	3.009586049	3.161350266	3.961314631	2.967168608	3.228562189	3.176322773	4.566003283	4.162961916	0	3.15596506	3.690044547	2.765534746	2.567220918	1.814208593	3.045559463	2.938599455	3.475517281	4.656496371	1.987927168	3.09085343	4.390025611	3.408711861	2.796320872	4.228049048	3.256004204	3.592955291	3.141868716	2.818305222	5.647122598	4.692464396	3.318075769	3.061776198	4.531069493	2.509273569	3.668648651	2.554179518	3.831877241	4.095080492
CLASP1	2.021479727	0	2.009586049	1.946106992	2.31421313	0.635367454	1.584962501	1.98550043	1.03796785	1.31421313	1.83052577	2.135315965	1.30256277	1.748461233	1.887525271	2.341036918	1.461179281	2.161350266	2.117695043	2.416839742	1.855989697	1.710760524	1.580145484	1.578536232	1.887525271	0	1.86393845	2.015545145	0.748461233	0	2.225480603	1.562344198	1.385891154	1.371094152	1.461179281	0.815575429	1.329602023	1.461179281	1.461179281	2.563971604	1.918386234	2.597729797	2.468148836	1.967168608	2.801848446	0.457681837	1.341036918	2.113255978	2.275007047	1.321928095	0	1.722466024	2.172060746	2.114367025	1.271027197	0.559083869	0.739848103	1.310340121	1.197446064	0.622930351	0.980634675	1.972079915	0	0.754174884	1.807354922	1.814208593	2.004800986	0.776805859	0.591360272	2.358021097	0.804604311	0.701918647	1.560714954	1.389566812	1.831877241	0.635367454	1.831877241	1.481987743	0.782408565	0.799087306	1.807354922	1	0	1.318075769	1.659924558	1.82374936	1.877089818	0	1.559083869	1.457681837
CLASP2	1.337235348	1.371094152	0.995182984	1.946106992	1.826463745	2.126532406	2.176322773	3.273018494	0	0.665999073	1.40780593	2.135315965	2.253989266	1.329602023	0.629162305	1.318075769	1.834576391	1.826463745	1.542670779	1.693022247	0.799087306	2.189033824	1.900464326	0.941106311	2.597729797	0	0	1.432959407	0.748461233	1.329602023	2.225480603	0.009586049	1.385891154	0.748461233	2.019108823	0.815575429	1.329602023	0.519374159	2.559083869	1.448900951	2.448019916	2.385891154	0.736965594	0.910732662	2.94673086	2.207892852	2.073820233	1.488857733	2.275007047	0	1.953575663	1.418639736	1.115477217	1.810100299	0	0.559083869	0.739848103	1.834576391	1.578536232	0.622930351	0.980634675	1.701918647	0	1.404176507	2.352381891	2.385891154	1.294743266	2.111031312	1.184809239	2.358021097	1.492280498	2.343881536	0.884923476	1.807354922	2.488000771	1.329602023	0.559083869	1.810100299	1.481987743	1.845322772	2.3950628	2.174193333	0.948600847	2.320003218	1.659924558	2.088593923	0.754174884	2.102098188	0.946106992	0.742724863
CLC	1.722466024	2.047305715	0	2.207892852	2.676568315	3.685192638	2.774699222	2.275007047	3.300123725	1.701918647	1.83052577	0	0	2.380360048	0	0	3.463796811	2.416839742	1.542670779	1.693022247	3.208933382	1.710760524	0	3.958533383	0	3.542670779	0.821029859	3.64385619	2.76694846	0.659924558	3.319521597	2.621368147	0.429392792	2.672048117	1.047305715	4.669026766	4.210752506	3.943921327	1.461179281	2.242856524	2.448019916	2.385891154	0.736965594	1.374807654	2.801848446	3.239296196	3.231125158	2.778208576	4.160274831	0.659924558	2.27897595	2.722466024	0.539365634	2.114367025	2.868555078	2.161350266	3.105454595	2.088593923	1.879705766	3.614709844	0	0.948600847	3.408711861	0	0	0.731183242	0	2.367371066	2.379436131	0.799087306	2.352381891	2.765534746	2.917749985	4.06091205	3.183751156	2.973305133	3.00839127	2.810100299	0.782408565	2.174193333	3.287866259	2.690789548	3.318075769	3.061776198	3.42312992	1.481987743	2.485426827	2.883620816	0.946106992	1.90560763
CLCA1	5.575110597	6.198756057	1.605652359	6.830018642	1.141868716	6.18401575	5.832046086	4.754887502	7.944585182	4.624490865	5.861459166	3.153805336	2.499101764	3.96470667	0	3.180041746	7.121257212	2.416839742	5.014206492	0.019108823	1.855989697	3.573697675	2.576925182	5.70855513	0.584962501	7.993032719	0.821029859	5.934359234	4.685566442	0.659924558	6.719229083	8.377239456	0	0.748461233	6.181102551	8.11280437	5.09113562	6.758267639	2.559083869	0	1.141868716	0	0	0	4.343881536	6.653442239	6.173260714	0	7.047232996	0.659924558	7.37045493	6.15839089	0	4.468583317	4.794762418	5.188242656	7.599615349	5.633237443	6.344946823	0	0	2.40780593	6.45318831	0	0	5.114644653	4.757201083	3.910093028	6.448900951	6.457244059	2.890122382	8.11280437	3.360832456	5.816258361	3.942983598	5.821540156	4.525442506	2.810100299	0	5.922752868	6.390140288	0.385891154	5.311430456	0	0	2.672048117	6.641112462	6.262658655	2.568032105	0
CLCA4	1.722466024	2.499101764	0	2.207892852	0	2.434739414	1.915839552	1.141868716	3.554998069	0.665999073	2.447138342	0.748461233	0.629162305	0.659924558	0	0.641546029	2.803915838	0.742724863	1.877089818	0.019108823	0	0.975752454	0	1.976974559	0	3.351439877	0	2.207892852	0.748461233	0	2.597729797	4.111031312	0	0	1.461179281	4.381744813	1.597729797	2.032100843	1.461179281	0	0	0	0	0	1.084064265	2.899820122	2.765534746	0	3.469017667	0	3.883620816	0.995182984	0	1.440066294	1.869213392	1.542670779	3.437405312	0.787989597	2.391401135	0	0	0.348610138	3.025028794	0	0	0.731183242	1.294743266	0.776805859	2.379436131	2.358021097	0	3.582957365	1.560714954	2.385891154	0.27897595	2.081794091	1.492280498	0.565597176	0	2.436517227	1.807354922	0	1.600904045	0	0	0.565597176	2.207892852	2.554179518	0.946106992	0
CLDN3	2.987927168	2.047305715	2.576925182	2.207892852	2.31421313	2.434739414	2.583358615	2.931052646	2.923466152	2.718087584	2.674309986	2.853330351	2.253989266	2.088593923	2.850666093	2.567220918	2.970240133	2.630716096	3.102658131	0.019108823	2.793549123	2.576925182	1.900464326	2.542670779	2.393233129	2.927264386	2.531069493	2.765534746	2.582556003	1.754174884	2.881011964	3.306456686	1.385891154	1.371094152	2.776805859	2.396890153	2.610385098	2.603280156	3.305970521	2.563971604	2.448019916	1.812840461	2.207892852	2.40599236	3.236237477	1.895302621	1.341036918	2.113255978	2.995182984	2.275007047	2.799087306	2.862616696	2.827819025	3.161350266	3.088593923	2.161350266	2.096486765	2.294743266	3.31517976	2.772589504	2.115477217	2.40780593	3.560714954	3.197446064	0	2.599317794	3.455053178	2.367371066	2.914564523	2.635367454	2.890122382	2.567220918	2.667513713	2.115477217	2.796320872	2.799778087	2.704871964	2.810100299	2.358021097	2.436517227	2.992768431	3.23878686	2.655351829	0	2.656877683	2.841302254	2.732631004	2.554179518	3.009586049	2.251971511
CLDN4	2.021479727	0	1.605652359	1.312277925	0	1.329602023	0.578536232	1.141868716	1.03796785	1.701918647	0.748461233	1.793549123	1.30256277	1.329602023	1.887525271	0	2.151642375	1.396890153	1.877089818	0.019108823	1.461179281	0.975752454	0.591360272	1.578536232	0.584962501	2	1.461179281	1.76836079	1.398715194	0.659924558	0	1.562344198	0.980634675	0	1.047305715	1.86393845	1.597729797	2.032100843	2.114367025	0.742724863	0.565597176	0	0	1.374807654	1.850666093	1.054269663	0	1.488857733	2.586564605	1.321928095	1.514332704	1.722466024	2.172060746	1.810100299	1.869213392	0.559083869	0.739848103	1.578536232	1.879705766	1.22650853	0.980634675	1.385891154	2.559899642	2.372952098	0	1.385891154	2.004800986	0.776805859	1.895302621	1.495695163	0.804604311	0.701918647	1.560714954	0.748461233	1.559083869	1.329602023	1.831877241	1.102098188	0.782408565	0.799087306	1.807354922	1.475084883	0.948600847	0	1.004800986	1.82374936	1.450661409	0	1.559083869	1.457681837
CLEC3B	0.707819249	3.428053035	2.995182984	2.207892852	1.826463745	3.109917692	2.93797206	1.141868716	2.923466152	0.665999073	2.447138342	1.793549123	0.629162305	2.088593923	0.629162305	1.318075769	1.461179281	2.161350266	0.565597176	4.112144074	2.15704371	0.363638347	2.576925182	2.283921772	0.584962501	1.716625146	2.752748591	1.432959407	2.112144074	2.589763487	1.762703156	4.188242656	3.345774837	3.24691474	1.461179281	1.461179281	2.265036759	1.03796785	2.874469118	1.448900951	2.201633861	2.995785991	2.207892852	1.967168608	2.126532406	2.899820122	0.672048117	1.081794091	2.586564605	2.495695163	1.953575663	0.995182984	1.887525271	0.804604311	2.303537235	1.141868716	2.096486765	1.578536232	1.197446064	0.622930351	0.980634675	3.395976765	4.56701805	3.197446064	0	0.731183242	1.294743266	0.776805859	1.184809239	0.799087306	1.987927168	1.734077315	1.560714954	3.141868716	1.831877241	1.748461233	1.492280498	1.481987743	1.987927168	2.975141013	2.12763328	1	0.948600847	2.842643672	1.659924558	0.565597176	0.754174884	1.443606651	0.946106992	3.029747343
